id,area_ratio,pixels,empty
goose_001,0.42855712890625,877685,0
goose_002,0.577001953125,1181700,0
goose_003,0.8671767578125,1775978,0
goose_004,0.35761376953125,732393,0
goose_005,0.7994677734375,1637310,0
goose_006,0.49513134765625,1014029,0
goose_007,0.6752724609375,1382958,0
goose_008,0.470552734375,963692,0
goose_009,0.64270068359375,1316251,0
goose_010,0.599974609375,1228748,0
goose_011,0.3967353515625,812514,0
goose_012,0.67571826171875,1383871,0
goose_013,0.55451904296875,1135655,0
goose_014,0.92347607421875,1891279,0
goose_015,0.78803662109375,1613899,0
goose_016,0.5812646484375,1190430,0
goose_017,0.59177294921875,1211951,0
goose_018,0.95123046875,1948120,0
goose_019,0.812625,1664256,0
goose_020,0.844470703125,1729476,0
goose_021,0.75124658203125,1538553,0
goose_022,0.80136279296875,1641191,0
goose_023,0.8051162109375,1648878,0
goose_024,0.5156298828125,1056010,0
goose_025,0.97934765625,2005704,0
goose_026,0.6218271484375,1273502,0
goose_027,0.79787939453125,1634057,0
goose_028,0.8958173828125,1834634,0
goose_029,0.467919921875,958300,0
goose_030,0.80950244140625,1657861,0
goose_031,0.98061083984375,2008291,0
goose_032,0.48840966796875,1000263,0
goose_033,0.7201279296875,1474822,0
goose_034,0.8171923828125,1673610,0
goose_035,0.61509814453125,1259721,0
goose_036,0.9596103515625,1965282,0
goose_037,0.55052197265625,1127469,0
goose_038,0.52206982421875,1069199,0
goose_039,0.94014306640625,1925413,0
goose_040,0.28242529296875,578407,0
goose_041,0.7056171875,1445104,0
goose_042,0.60699853515625,1243133,0
goose_043,0.7075380859375,1449038,0
goose_044,0.6055869140625,1240242,0
goose_045,0.76127099609375,1559083,0
goose_046,0.84465185546875,1729847,0
goose_047,0.47611962890625,975093,0
goose_048,0.8498056640625,1740402,0
goose_049,0.86740771484375,1776451,0
goose_050,0.122841796875,251580,0
goose_051,0.62565234375,1281336,0
goose_052,0.6193271484375,1268382,0
goose_053,0.6018466796875,1232582,0
goose_054,0.5935224609375,1215534,0
goose_055,0.87372509765625,1789389,0
goose_056,0.75802392578125,1552433,0
