id,area_ratio,pixels,empty
goose_001,0.0408369140625,83634,0
goose_002,0.00544970703125,11161,0
goose_003,0.4083349609375,836270,0
goose_004,0.01321826171875,27071,0
goose_005,0.1502705078125,307754,0
goose_006,0.013357421875,27356,0
goose_007,0.064037109375,131148,0
goose_008,0.07305419921875,149615,0
goose_009,0.05716943359375,117083,0
goose_010,0.02858154296875,58535,0
goose_011,0.01882666015625,38557,0
goose_012,0.0296318359375,60686,0
goose_013,0.23952978515625,490557,0
goose_014,0.3522939453125,721498,0
goose_015,0.0025693359375,5262,0
goose_016,0.26766943359375,548187,0
goose_017,0.0068232421875,13974,0
goose_018,0.0,0,1
goose_019,0.00089404296875,1831,0
goose_020,0.0478720703125,98042,0
goose_021,0.0301357421875,61718,0
goose_022,0.00405078125,8296,0
goose_023,0.184830078125,378532,0
goose_024,0.18163916015625,371997,0
goose_025,0.03285888671875,67295,0
goose_026,0.088048828125,180324,0
goose_027,0.00416162109375,8523,0
goose_028,0.0460556640625,94322,0
goose_029,0.025708984375,52652,0
goose_030,0.05289013671875,108319,0
goose_031,0.17603759765625,360525,0
goose_032,0.01297119140625,26565,0
goose_033,0.00028125,576,0
goose_034,0.114822265625,235156,0
goose_035,0.1101669921875,225622,0
goose_036,0.33553955078125,687185,0
goose_037,0.0960419921875,196694,0
goose_038,0.07976171875,163352,0
goose_039,0.09050634765625,185357,0
goose_040,0.087767578125,179748,0
goose_041,0.22425146484375,459267,0
goose_042,0.0753857421875,154390,0
goose_043,0.03408837890625,69813,0
goose_044,0.00238916015625,4893,0
goose_045,0.03442431640625,70501,0
goose_046,0.220228515625,451028,0
goose_047,0.0,0,1
goose_048,0.00457421875,9368,0
goose_049,0.36762255859375,752891,0
goose_050,0.012806640625,26228,0
goose_051,0.01077294921875,22063,0
goose_052,0.007306640625,14964,0
goose_053,0.000220703125,452,0
goose_054,0.0153671875,31472,0
goose_055,0.00653173828125,13377,0
goose_056,0.17371923828125,355777,0
