sample_id,split,src_image,src_label,image_path,label_path
goose_001,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-08-18_putzbrunn_feldwege/2022-08-18_putzbrunn_feldwege__0318_1660830189200232538_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-08-18_putzbrunn_feldwege/2022-08-18_putzbrunn_feldwege__0318_1660830189200232538_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_001.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_001.png
goose_002,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-10-12_solalinden_waldwege/2022-10-12_solalinden_waldwege__0471_1665582536458876097_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-10-12_solalinden_waldwege/2022-10-12_solalinden_waldwege__0471_1665582536458876097_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_002.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_002.png
goose_003,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-12-07_aying_hills/2022-12-07_aying_hills__0343_1670423466178226033_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-12-07_aying_hills/2022-12-07_aying_hills__0343_1670423466178226033_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_003.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_003.png
goose_004,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-05-24_neubiberg_cloudy/2023-05-24_neubiberg_cloudy__0445_1684935727662840750_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-05-24_neubiberg_cloudy/2023-05-24_neubiberg_cloudy__0445_1684935727662840750_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_004.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_004.png
goose_005,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-12-07_aying_hills/2022-12-07_aying_hills__0419_1670423850714826413_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-12-07_aying_hills/2022-12-07_aying_hills__0419_1670423850714826413_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_005.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_005.png
goose_006,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-02-23_campus_roads/2023-02-23_campus_roads__0061_1677167379997555957_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-02-23_campus_roads/2023-02-23_campus_roads__0061_1677167379997555957_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_006.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_006.png
goose_007,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-05-15_neubiberg_rain/2023-05-15_neubiberg_rain__0506_1684157088328210183_windshield_nir.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-05-15_neubiberg_rain/2023-05-15_neubiberg_rain__0506_1684157088328210183_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_007.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_007.png
goose_008,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-05-24_neubiberg_cloudy/2023-05-24_neubiberg_cloudy__0458_1684935770156876661_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-05-24_neubiberg_cloudy/2023-05-24_neubiberg_cloudy__0458_1684935770156876661_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_008.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_008.png
goose_009,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2022-08-18_putzbrunn_feldwege/2022-08-18_putzbrunn_feldwege__0182_1660828824610275423_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2022-08-18_putzbrunn_feldwege/2022-08-18_putzbrunn_feldwege__0182_1660828824610275423_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_009.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_009.png
goose_010,train,/mnt/d/dataset/off_road_dataset/goose/images/train/2023-05-17_neubiberg_sunny/2023-05-17_neubiberg_sunny__0273_1684329373363445927_windshield_vis.png,/mnt/d/dataset/off_road_dataset/goose/labels/train/2023-05-17_neubiberg_sunny/2023-05-17_neubiberg_sunny__0273_1684329373363445927_labelids.png,/mnt/d/research_vl2g/goose_train_100/images/goose_010.png,/mnt/d/research_vl2g/goose_train_100/labels/goose_010.png
